Dimensions,HMS,HMCR,PAR,BW,MaxIter,ExecutionTime(s),Cores,Seed,BestFitness,ExecutionType
4,1000,0.9,0.3,0.01,100000000,85.5011,2,42,0.336159,MPI
4,1000,0.9,0.3,0.01,100000000,87.1121,2,42,0.336159,MPI
4,1000,0.9,0.3,0.01,100000000,87.0721,2,42,0.336159,MPI
4,1000,0.9,0.3,0.01,100000000,87.0858,2,42,0.336159,MPI
4,1000,0.9,0.3,0.01,100000000,42.3577,4,42,0.369182,MPI
4,1000,0.9,0.3,0.01,100000000,42.3618,4,42,0.369182,MPI
4,1000,0.9,0.3,0.01,100000000,21.5293,8,42,0.692306,MPI
4,1000,0.9,0.3,0.01,100000000,21.5489,8,42,0.692306,MPI
4,1000,0.9,0.3,0.01,100000000,43.1835,4,42,0.369182,MPI
4,1000,0.9,0.3,0.01,100000000,43.1798,4,42,0.369182,MPI
4,1000,0.9,0.3,0.01,100000000,43.8415,4,42,0.369182,MPI
4,1000,0.9,0.3,0.01,100000000,12.1972,16,42,0.387713,MPI
4,1000,0.9,0.3,0.01,100000000,12.1612,16,42,0.387713,MPI
4,1000,0.9,0.3,0.01,100000000,8.61152,32,42,0.18749,MPI
4,1000,0.9,0.3,0.01,100000000,8.86805,32,42,0.18749,MPI
4,1000,0.9,0.3,0.01,100000000,22.0986,8,42,0.692306,MPI
4,1000,0.9,0.3,0.01,100000000,21.7157,8,42,0.692306,MPI
4,1000,0.9,0.3,0.01,100000000,22.4798,8,42,0.692306,MPI
4,1000,0.9,0.3,0.01,100000000,15.7985,64,42,0.0853904,MPI
4,1000,0.9,0.3,0.01,100000000,11.6077,16,42,0.387713,MPI
4,1000,0.9,0.3,0.01,100000000,12.4259,16,42,0.387713,MPI
8,1000,0.9,0.3,0.01,100000000,178.05,2,42,1.22356,MPI
8,1000,0.9,0.3,0.01,100000000,177.99,2,42,1.22356,MPI
4,1000,0.9,0.3,0.01,100000000,12.5354,16,42,0.387713,MPI
4,1000,0.9,0.3,0.01,100000000,19.1673,64,42,0.0853904,MPI
4,1000,0.9,0.3,0.01,100000000,8.12423,32,42,0.18749,MPI
4,1000,0.9,0.3,0.01,100000000,8.93204,32,42,0.18749,MPI
4,1000,0.9,0.3,0.01,100000000,8.7747,32,42,0.18749,MPI
8,1000,0.9,0.3,0.01,100000000,181.338,2,42,1.22356,MPI
8,1000,0.9,0.3,0.01,100000000,181.585,2,42,1.22356,MPI
4,1000,0.9,0.3,0.01,100000000,19.1699,64,42,0.0853904,MPI
8,1000,0.9,0.3,0.01,100000000,181.36,2,42,1.22356,MPI
4,1000,0.9,0.3,0.01,100000000,19.6458,64,42,0.0853904,MPI
4,1000,0.9,0.3,0.01,100000000,22.4935,64,42,0.0853904,MPI
8,1000,0.9,0.3,0.01,100000000,81.8896,4,42,2.78479,MPI
8,1000,0.9,0.3,0.01,100000000,82.0265,4,42,2.78479,MPI
8,1000,0.9,0.3,0.01,100000000,83.6348,4,42,2.78479,MPI
8,1000,0.9,0.3,0.01,100000000,83.5357,4,42,2.78479,MPI
8,1000,0.9,0.3,0.01,100000000,83.5963,4,42,2.78479,MPI
8,1000,0.9,0.3,0.01,100000000,41.5262,8,42,4.21148,MPI
8,1000,0.9,0.3,0.01,100000000,42.2324,8,42,4.21148,MPI
8,1000,0.9,0.3,0.01,100000000,42.2503,8,42,4.21148,MPI
8,1000,0.9,0.3,0.01,100000000,41.8365,8,42,4.21148,MPI
8,1000,0.9,0.3,0.01,100000000,23.0091,16,42,4.56307,MPI
8,1000,0.9,0.3,0.01,100000000,23.0179,16,42,4.56307,MPI
8,1000,0.9,0.3,0.01,100000000,42.661,8,42,4.21148,MPI
8,1000,0.9,0.3,0.01,100000000,15.6989,32,42,4.33842,MPI
8,1000,0.9,0.3,0.01,100000000,14.9328,32,42,4.33842,MPI
8,1000,0.9,0.3,0.01,100000000,21.9198,16,42,4.56307,MPI
8,1000,0.9,0.3,0.01,100000000,23.3893,16,42,4.56307,MPI
8,1000,0.9,0.3,0.01,100000000,23.6157,16,42,4.56307,MPI
8,1000,0.9,0.3,0.01,100000000,14.27,32,42,4.33842,MPI
8,1000,0.9,0.3,0.01,100000000,15.2832,32,42,4.33842,MPI
8,1000,0.9,0.3,0.01,100000000,22.7202,64,42,3.74527,MPI
8,1000,0.9,0.3,0.01,100000000,28.0764,64,42,3.74527,MPI
8,1000,0.9,0.3,0.01,100000000,15.3334,32,42,4.33842,MPI
8,1000,0.9,0.3,0.01,100000000,20.8475,64,42,3.74527,MPI
8,1000,0.9,0.3,0.01,100000000,24.4212,64,42,3.74527,MPI
8,1000,0.9,0.3,0.01,100000000,28.3341,64,42,3.74527,MPI
16,1000,0.9,0.3,0.01,100000000,641.735,1,42,0.208938,MPI
16,1000,0.9,0.3,0.01,100000000,641.736,1,42,0.208938,MPI
35,1000,0.9,0.3,0.01,100000000,1412.27,1,42,27.1744,Sequential
35,1000,0.9,0.3,0.01,100000000,1414.78,1,42,27.1744,Sequential
35,1000,0.9,0.3,0.01,100000000,1416.13,1,42,27.1744,Sequential
35,1000,0.9,0.3,0.01,100000000,1416.82,1,42,27.1744,Sequential
35,1000,0.9,0.3,0.01,100000000,1412.22,1,42,27.1744,Sequential
32,1000,0.9,0.3,0.01,100000000,1303.67,1,42,22.1476,Sequential
32,1000,0.9,0.3,0.01,100000000,1304.89,1,42,22.1476,Sequential
16,1000,0.9,0.3,0.01,100000000,687.288,1,42,0.208938,MPI
16,1000,0.9,0.3,0.01,100000000,694.812,1,42,0.208938,MPI
16,1000,0.9,0.3,0.01,100000000,694.991,1,42,0.208938,MPI
16,1000,0.9,0.3,0.01,100000000,699.344,1,42,0.208938,MPI
32,1000,0.9,0.3,0.01,100000000,1347.58,1,42,22.1476,Sequential
32,1000,0.9,0.3,0.01,100000000,1376.88,1,42,22.1476,Sequential
16,1000,0.9,0.3,0.01,100000000,339.154,2,42,14.8532,MPI
16,1000,0.9,0.3,0.01,100000000,339.227,2,42,14.8532,MPI
32,1000,0.9,0.3,0.01,100000000,1374.37,1,42,22.1476,Sequential
16,1000,0.9,0.3,0.01,100000000,362.376,2,42,14.8532,MPI
16,1000,0.9,0.3,0.01,100000000,367.852,2,42,14.8532,MPI
16,1000,0.9,0.3,0.01,100000000,367.397,2,42,14.8532,MPI
16,1000,0.9,0.3,0.01,100000000,367.171,2,42,14.8532,MPI
16,1000,0.9,0.3,0.01,100000000,153.433,4,42,11.5973,MPI
16,1000,0.9,0.3,0.01,100000000,153.539,4,42,11.5973,MPI
16,1000,0.9,0.3,0.01,100000000,78.1435,8,42,13.18,MPI
16,1000,0.9,0.3,0.01,100000000,78.4877,8,42,13.18,MPI
16,1000,0.9,0.3,0.01,100000000,42.4347,16,42,12.6829,MPI
16,1000,0.9,0.3,0.01,100000000,42.3225,16,42,12.6829,MPI
16,1000,0.9,0.3,0.01,100000000,164.163,4,42,11.5973,MPI
16,1000,0.9,0.3,0.01,100000000,166.11,4,42,11.5973,MPI
16,1000,0.9,0.3,0.01,100000000,26.9612,32,42,12.0103,MPI
16,1000,0.9,0.3,0.01,100000000,27.7017,32,42,12.0103,MPI
16,1000,0.9,0.3,0.01,100000000,167.045,4,42,11.5973,MPI
16,1000,0.9,0.3,0.01,100000000,166.089,4,42,11.5973,MPI
16,1000,0.9,0.3,0.01,100000000,34.8336,64,42,12.7301,MPI
16,1000,0.9,0.3,0.01,100000000,35.7164,64,42,12.7301,MPI
16,1000,0.9,0.3,0.01,100000000,84.156,8,42,13.18,MPI
16,1000,0.9,0.3,0.01,100000000,86.1297,8,42,13.18,MPI
16,1000,0.9,0.3,0.01,100000000,87.9288,8,42,13.18,MPI
16,1000,0.9,0.3,0.01,100000000,88.0875,8,42,13.18,MPI
16,1000,0.9,0.3,0.01,100000000,45.3387,16,42,12.6829,MPI
16,1000,0.9,0.3,0.01,100000000,46.4072,16,42,12.6829,MPI
16,1000,0.9,0.3,0.01,100000000,27.6769,32,42,12.0103,MPI
16,1000,0.9,0.3,0.01,100000000,46.4823,16,42,12.6829,MPI
16,1000,0.9,0.3,0.01,100000000,46.6366,16,42,12.6829,MPI
16,1000,0.9,0.3,0.01,100000000,27.1936,32,42,12.0103,MPI
16,1000,0.9,0.3,0.01,100000000,27.2342,32,42,12.0103,MPI
16,1000,0.9,0.3,0.01,100000000,27.1331,32,42,12.0103,MPI
16,1000,0.9,0.3,0.01,100000000,41.2553,64,42,12.7301,MPI
16,1000,0.9,0.3,0.01,100000000,29.2564,64,42,12.7301,MPI
16,1000,0.9,0.3,0.01,100000000,29.652,64,42,12.7301,MPI
16,1000,0.9,0.3,0.01,100000000,30.1324,64,42,12.7301,MPI
32,1000,0.9,0.3,0.01,100000000,1320.85,1,42,22.1476,MPI
32,1000,0.9,0.3,0.01,100000000,1320.75,1,42,22.1476,MPI
35,1000,0.9,0.3,0.01,100000000,1427.51,1,42,27.1744,MPI
35,1000,0.9,0.3,0.01,100000000,1427.9,1,42,27.1744,MPI
35,1000,0.9,0.3,0.01,100000000,1427.76,1,42,27.1744,MPI
35,1000,0.9,0.3,0.01,100000000,1426.88,1,42,27.1744,MPI
35,1000,0.9,0.3,0.01,100000000,1430.6,1,42,27.1744,MPI
32,1000,0.9,0.3,0.01,100000000,1356.7,1,42,22.1476,MPI
32,1000,0.9,0.3,0.01,100000000,1359.18,1,42,22.1476,MPI
32,1000,0.9,0.3,0.01,100000000,1331.81,1,42,22.1476,MPI
32,1000,0.9,0.3,0.01,100000000,693.889,2,42,741.304,MPI
32,1000,0.9,0.3,0.01,100000000,693.65,2,42,741.304,MPI
64,1000,0.9,0.3,0.01,100000000,2523.01,1,42,114.167,Sequential
64,1000,0.9,0.3,0.01,100000000,2511.66,1,42,114.167,Sequential
35,1000,0.9,0.3,0.01,100000000,746.902,2,42,1210.12,MPI
35,1000,0.9,0.3,0.01,100000000,747.324,2,42,1210.12,MPI
35,1000,0.9,0.3,0.01,100000000,746.485,2,42,1210.12,MPI
35,1000,0.9,0.3,0.01,100000000,748.225,2,42,1210.12,MPI
35,1000,0.9,0.3,0.01,100000000,748.437,2,42,1210.12,MPI
32,1000,0.9,0.3,0.01,100000000,720.54,2,42,741.304,MPI
32,1000,0.9,0.3,0.01,100000000,737.799,2,42,741.304,MPI
64,1000,0.9,0.3,0.01,100000000,2744.93,1,42,114.167,Sequential
32,1000,0.9,0.3,0.01,100000000,723.49,2,42,741.304,MPI
32,1000,0.9,0.3,0.01,100000000,337.402,4,42,78.5606,MPI
32,1000,0.9,0.3,0.01,100000000,337.33,4,42,78.5606,MPI
64,1000,0.9,0.3,0.01,100000000,2567.77,1,42,114.167,Sequential
35,1000,0.9,0.3,0.01,100000000,363.84,4,42,169.038,MPI
35,1000,0.9,0.3,0.01,100000000,364.291,4,42,169.038,MPI
35,1000,0.9,0.3,0.01,100000000,368.158,4,42,169.038,MPI
35,1000,0.9,0.3,0.01,100000000,369.127,4,42,169.038,MPI
35,1000,0.9,0.3,0.01,100000000,369.066,4,42,169.038,MPI
32,1000,0.9,0.3,0.01,100000000,168.464,8,42,122.682,MPI
